County,Month,Year,Application Status,Number of Applications
Butte,11,2014,Applications/requests for restoration received,275
Butte,11,2014,Applications/restorations approved,105
Butte,11,2014,Total applications/restorations on hand,457
Butte,12,2010,Applications denied,139
Butte,12,2010,Applications/requests for restoration received,336
Butte,12,2010,Applications/restorations approved,187
Butte,12,2010,Total applications/restorations on hand,738
Butte,12,2011,Applications denied,133
Butte,12,2011,Applications/requests for restoration received,357
Butte,12,2011,Applications/restorations approved,129
Butte,12,2011,Total applications/restorations on hand,668
Butte,12,2012,Applications denied,178
Butte,12,2012,Applications/requests for restoration received,342
Butte,12,2012,Applications/restorations approved,103
Butte,12,2012,Total applications/restorations on hand,567
Butte,12,2013,Applications denied,133
Butte,12,2013,Applications/requests for restoration received,349
Butte,12,2013,Applications/restorations approved,133
Butte,12,2013,Total applications/restorations on hand,553
Butte,12,2014,Applications denied,112
Butte,12,2014,Applications/requests for restoration received,343
Butte,12,2014,Applications/restorations approved,116
Butte,12,2014,Total applications/restorations on hand,522
Butte,2,2010,Applications denied,101
Butte,2,2010,Applications/requests for restoration received,312
Butte,2,2010,Applications/restorations approved,117
Butte,2,2010,Total applications/restorations on hand,539
Butte,2,2011,Applications denied,118
Butte,2,2011,Applications/requests for restoration received,295
Butte,2,2011,Applications/restorations approved,169
Butte,2,2011,Total applications/restorations on hand,666
Butte,2,2012,Applications denied,134
Butte,2,2012,Applications/requests for restoration received,349
Butte,2,2012,Applications/restorations approved,133
Butte,2,2012,Total applications/restorations on hand,691
Butte,2,2013,Applications denied,148
Butte,2,2013,Applications/requests for restoration received,297
Butte,2,2013,Applications/restorations approved,124
Butte,2,2013,Total applications/restorations on hand,514
Butte,2,2014,Applications denied,130
Butte,2,2014,Applications/requests for restoration received,329
Butte,2,2014,Applications/restorations approved,126
Butte,2,2014,Total applications/restorations on hand,576
Butte,2,2015,Applications denied,108
Butte,2,2015,Applications/requests for restoration received,252
Butte,2,2015,Applications/restorations approved,105
Butte,2,2015,Total applications/restorations on hand,453
Butte,3,2010,Applications denied,99
Butte,3,2010,Applications/requests for restoration received,326
Butte,3,2010,Applications/restorations approved,127
Butte,3,2010,Total applications/restorations on hand,549
Butte,3,2011,Applications denied,119
Butte,3,2011,Applications/requests for restoration received,364
Butte,3,2011,Applications/restorations approved,140
Butte,3,2011,Total applications/restorations on hand,655
Butte,3,2012,Applications denied,134
Butte,3,2012,Applications/requests for restoration received,396
Butte,3,2012,Applications/restorations approved,123
Butte,3,2012,Total applications/restorations on hand,698
Butte,3,2013,Applications denied,131
Butte,3,2013,Applications/requests for restoration received,280
Butte,3,2013,Applications/restorations approved,114
Butte,3,2013,Total applications/restorations on hand,474
Butte,3,2014,Applications denied,115
Butte,3,2014,Applications/requests for restoration received,333
Butte,3,2014,Applications/restorations approved,138
Butte,3,2014,Total applications/restorations on hand,567
Butte,3,2015,Applications/requests for restoration received,326
Butte,3,2015,Applications/restorations approved,122
Butte,3,2015,Total applications/restorations on hand,507
Butte,4,2010,Applications denied,102
Butte,4,2010,Applications/requests for restoration received,369
Butte,4,2010,Applications/restorations approved,124
Butte,4,2010,Total applications/restorations on hand,603
Butte,4,2011,Applications denied,137
Butte,4,2011,Applications/requests for restoration received,388
Butte,4,2011,Applications/restorations approved,148
Butte,4,2011,Total applications/restorations on hand,696
Butte,4,2012,Applications denied,153
Butte,4,2012,Applications/requests for restoration received,401
Butte,4,2012,Applications/restorations approved,119
Butte,4,2012,Total applications/restorations on hand,725
Butte,4,2013,Applications denied,134
Butte,4,2013,Applications/requests for restoration received,363
Butte,4,2013,Applications/restorations approved,112
Butte,4,2013,Total applications/restorations on hand,531
Butte,4,2014,Applications denied,134
Butte,4,2014,Applications/requests for restoration received,372
Butte,4,2014,Applications/restorations approved,139
Butte,4,2014,Total applications/restorations on hand,592
Butte,4,2015,Applications denied,127
Butte,4,2015,Applications/requests for restoration received,323
Butte,4,2015,Applications/restorations approved,141
Butte,4,2015,Total applications/restorations on hand,520
Butte,5,2010,Applications denied,141
Butte,5,2010,Applications/requests for restoration received,338
Butte,5,2010,Applications/restorations approved,142
Butte,5,2010,Total applications/restorations on hand,617
Butte,5,2011,Applications denied,125
Butte,5,2011,Applications/requests for restoration received,364
Butte,5,2011,Applications/restorations approved,135
Butte,5,2011,Total applications/restorations on hand,682
Butte,5,2012,Applications denied,193
Butte,5,2012,Applications/requests for restoration received,411
Butte,5,2012,Applications/restorations approved,144
Butte,5,2012,Total applications/restorations on hand,768
Butte,5,2013,Applications denied,156
Butte,5,2013,Applications/requests for restoration received,326
Butte,5,2013,Applications/restorations approved,113
Butte,5,2013,Total applications/restorations on hand,547
Butte,5,2014,Applications denied,136
Butte,5,2014,Applications/requests for restoration received,323
Butte,5,2014,Applications/restorations approved,128
Butte,5,2014,Total applications/restorations on hand,556
Butte,5,2015,Applications/requests for restoration received,288
Butte,5,2015,Applications/restorations approved,118
Butte,5,2015,Total applications/restorations on hand,474
Butte,6,2010,Applications denied,103
Butte,6,2010,Applications/requests for restoration received,491
Butte,6,2010,Applications/restorations approved,116
Butte,6,2010,Total applications/restorations on hand,663
Butte,6,2011,Applications denied,131
Butte,6,2011,Applications/requests for restoration received,434
Butte,6,2011,Applications/restorations approved,153
Butte,6,2011,Total applications/restorations on hand,754
Butte,6,2012,Applications denied,177
Butte,6,2012,Applications/requests for restoration received,403
Butte,6,2012,Applications/restorations approved,140
Butte,6,2012,Total applications/restorations on hand,739
Butte,6,2013,Applications denied,146
Butte,6,2013,Applications/requests for restoration received,376
Butte,6,2013,Applications/restorations approved,116
Butte,6,2013,Total applications/restorations on hand,596
Butte,6,2014,Applications denied,130
Butte,6,2014,Applications/requests for restoration received,357
Butte,6,2014,Applications/restorations approved,143
Butte,6,2014,Total applications/restorations on hand,583
Butte,6,2015,Applications denied,151
Butte,6,2015,Applications/requests for restoration received,357
Butte,6,2015,Applications/restorations approved,104
Butte,6,2015,Total applications/restorations on hand,525
Butte,7,2010,Applications denied,106
Butte,7,2010,Applications/requests for restoration received,463
Butte,7,2010,Applications/restorations approved,112
Butte,7,2010,Total applications/restorations on hand,803
